,ranking,songName,artistName,playCount,increaseCount,link
0,1,Savage,2023|에스파 (aespa)|aespa|1,71365544,241917,https://www.youtube.com/watch?v=WPdWvnAAurg
1,2,LALISA,681|리사 (LISA)|LISA|1,263506569,71723,https://www.youtube.com/watch?v=awkkyBH2zEo
2,3,The Feels,5|TWICE (트와이스)|TWICE|1,64749508,68828,https://www.youtube.com/watch?v=f5_wn8mexmM
3,4,실수 좀 할게 (Will Make a Mistake),2170|블리처스|BLITZERS|1,6807729,50069,https://www.youtube.com/watch?v=s6GE7h_at18
4,5,GLASSY,701|조유리|JOYURI|1,5960338,38210,https://www.youtube.com/watch?v=AQt4K08L_m8
5,6,Butter,273|방탄소년단|BTS|1,579752770,34052,https://www.youtube.com/watch?v=WMweEpGlu_U
6,7,사랑은 늘 도망가,1874|임영웅|LIMYOUNGWOONG|1,456777,33644,https://www.youtube.com/watch?v=LKQ-18LoFQk
7,8,Permission to Dance,273|방탄소년단|BTS|1,337987422,33474,https://www.youtube.com/watch?v=CuklIb9d3fI
8,9,강남스타일,1186|싸이 (PSY)|PSY|1,4212503915,33231,https://www.youtube.com/watch?v=9bZkp7q19f0
9,10,소리꾼,377|Stray Kids (스트레이 키즈)|StrayKids|1,95511592,28955,https://www.youtube.com/watch?v=EaswWiwMVs8
10,11,LOCO,625|ITZY (있지)|ITZY|1,72603745,26105,https://www.youtube.com/watch?v=MjCZfZfucEc
11,12,Dynamite,273|방탄소년단|BTS|1,1265288895,25618,https://www.youtube.com/watch?v=gdZLi9oWNZg
12,13,뚜두뚜두 (DDU-DU DDU-DU),326|BLACKPINK|BLACKPINK|1,1714946969,25282,https://www.youtube.com/watch?v=IHNzOHi8sJs
13,14,작은 것들을 위한 시 (Boy With Luv) feat. Halsey,273|방탄소년단|BTS|1,1368989683,25111,https://www.youtube.com/watch?v=XsX3ATc3FbA
14,15,MIC Drop (Steve Aoki Remix) (Feat. Desiigner),273|방탄소년단|BTS|1,1059588039,24817,https://www.youtube.com/watch?v=kTlv5_Bs8aw
15,16,Kill This Love,326|BLACKPINK|BLACKPINK|1,1412932401,22982,https://www.youtube.com/watch?v=2S24-y0Ij3Y
16,17,WAITING,1346|WOODZ (조승연)|WOODZ|1,10731486,19866,https://www.youtube.com/watch?v=eyP6iVQlnFo
17,18,붐바야,326|BLACKPINK|BLACKPINK|1,1287380901,19680,https://www.youtube.com/watch?v=bwmSjveL3Lc
18,19,Lover Like Me,1334|CL|CL|1,18787213,19234,https://www.youtube.com/watch?v=qoqA-th1ZPE
19,20,PING PONG,"1338|현아|HyunA|1,1691|DAWN (던)|DAWN|1",22419655,18452,https://www.youtube.com/watch?v=0aaeUI1ucfQ
20,21,How You Like That,326|BLACKPINK|BLACKPINK|1,979366108,17645,https://www.youtube.com/watch?v=ioNng23DkIM
21,22,IDOL,273|방탄소년단|BTS|1,1016210284,16552,https://www.youtube.com/watch?v=pBuZEGYXA6E
