,ranking,songName,artistName,playCount,increaseCount,link
0,701,사이렌 (Siren),1184|선미|SUNMI|1,61204471,315,https://www.youtube.com/watch?v=TNWMZIf7eSg
1,701,DINOSAUR,1088|악뮤|AKMU|1,35643095,315,https://www.youtube.com/watch?v=8Oz7DG76ibY
2,701,Holiday,640|세븐틴|SEVENTEEN|1,14540002,315,https://www.youtube.com/watch?v=rJn8WCCkFqU
3,704,쩔어 (GD & T.O.P),277|BIGBANG|BIGBANG|1,75732152,314,https://www.youtube.com/watch?v=D8t8A8E_Tqc
4,704,Dancing King,272|EXO|EXO|1,60390792,314,https://www.youtube.com/watch?v=4EiNsoTc9kk
5,706,Yellow Cab,1154|DPR LIVE|DPRLIVE|1,3132636,313,https://www.youtube.com/watch?v=Z5-ASY-JOj0
6,707,Switch It Up (Feat. sokodomo) (Prod. by Cha Cha Malone),514|JAY B (GOT7)|JAYB|1,9329866,312,https://www.youtube.com/watch?v=XJXU8xEeQOs
7,708,Girls Girls Girls,521|GOT7 (갓세븐)|GOT7|1,97824596,311,https://www.youtube.com/watch?v=2sAoKmg7qPI
8,708,Good Luck,313|AOA|AOA|1,43100331,311,https://www.youtube.com/watch?v=sno_genwMz8
9,708,접근금지 (Prod. By 기리보이),379|펜타곤|PENTAGON|1,22839099,311,https://www.youtube.com/watch?v=oDyFLIep_SA
10,708,별 (Little Prince),"1094|로꼬|Loco|1,1516|유성은||0",17022131,311,https://www.youtube.com/watch?v=SKPyCQn9UME
11,712,Astronaut,377|Stray Kids (스트레이 키즈)|StrayKids|1,18070508,310,https://www.youtube.com/watch?v=ZnpEBYvgiAU
12,713,Hello,288|SHINee (샤이니)|SHINee|1,80038207,308,https://www.youtube.com/watch?v=skZxb5sBoiU
13,713,Without You,713|윤보미 (에이핑크)||0,8409938,308,https://www.youtube.com/watch?v=irNr3z4-tRA
14,713,전쟁터 (with 이선희),1088|악뮤|AKMU|1,4518496,308,https://www.youtube.com/watch?v=gMXXVS6Hil4
15,716,Lollipop,"277|BIGBANG|BIGBANG|1,1337|2NE1|2NE1|1",94647242,306,https://www.youtube.com/watch?v=zIRW_elc-rY
16,717,사계 (Four Seasons),813|태연 (TAEYEON)|TAEYEON|1,37430950,304,https://www.youtube.com/watch?v=4HG_CJzyX6A
17,717,Dream of You (with R3HAB),7|청하|CHUNGHA|1,13946069,304,https://www.youtube.com/watch?v=K1caxbWpgZA
18,717,어떻게 생각해,1129|CHEEZE (치즈)|CHEEZE|1,13224468,304,https://www.youtube.com/watch?v=Frs7j21R4Cc
19,717,아름답고도 아프구나,31|비투비|BTOB|1,12845611,304,https://www.youtube.com/watch?v=KLNr84h5qL4
20,721,행복 (Happiness),316|Red Velvet (레드벨벳)|RedVelvet|1,105814485,302,https://www.youtube.com/watch?v=JFgv8bKfxEs
21,721,Mr.Mr.,305|소녀시대 (GIRLS' GENERATION)|SNSD|1,93418149,302,https://www.youtube.com/watch?v=Z8j_XEn9b_8
22,721,음파음파 (Umpah Umpah),316|Red Velvet (레드벨벳)|RedVelvet|1,45508155,302,https://www.youtube.com/watch?v=vHS9E6JFja8
23,721,"BORN HATER (Feat. 빈지노, 버벌진트, B.I, MINO, BOBBY)",1107|에픽하이 (EPIK HIGH)|EPIKHIGH|1,20347261,302,https://www.youtube.com/watch?v=3s1jaFDrp5M
24,721,Make Up (Feat. Crush),1212|샘김 (SAM KIM)|SAMKIM|1,12866014,302,https://www.youtube.com/watch?v=r1iFxWW_WjY
25,726,상사화,476|안예은|YeeunAhn|1,10964408,299,https://www.youtube.com/watch?v=9vpfuRGHxfU
26,727,MONSTER,277|BIGBANG|BIGBANG|1,93260233,298,https://www.youtube.com/watch?v=btDd9rOlc2k
27,727,History,272|EXO|EXO|1,88264716,298,https://www.youtube.com/watch?v=vdejiaoEhFc
28,729,널 너무 모르고,1091|헤이즈 (Heize)|Heize|1,26021444,297,https://www.youtube.com/watch?v=vvkWaI91mLM
29,729,FUN!,386|프로미스나인|fromis_9|1,18665775,297,https://www.youtube.com/watch?v=zsRyyLtcXho
30,729,Let Me Out,1238|뉴이스트 W||0,18224379,297,https://www.youtube.com/watch?v=333AbjpGqk8
31,729,문득 (Duet with 송희진),611|도운||0,671583,297,https://www.youtube.com/watch?v=8xg7h1OTrsc
32,733,"what2do (Feat. Crush, Jeff Bernat)",1089|DEAN|DEAN|1,17374183,296,https://www.youtube.com/watch?v=gMrYfJGm7kM
33,734,소방차 (Fire Truck),1328|NCT 127|NCT127|1,39232899,295,https://www.youtube.com/watch?v=_psXn_VJ_AE
34,734,What Do I Call You,813|태연 (TAEYEON)|TAEYEON|1,12467862,295,https://www.youtube.com/watch?v=5LbFdY6vGsQ
35,736,Change (Feat. 용준형 From Beast),1338|현아|HyunA|1,44576996,294,https://www.youtube.com/watch?v=G6JppjQSTh8
36,736,Bomb (Korean ver),1971|AleXa|AleXa|1,22462326,294,https://youtu.be/2OjCMR8DGLg
37,736,가라사대,1127|BewhY (비와이)|BewhY|1,14152512,294,https://www.youtube.com/watch?v=ckZor7HRU1E
38,739,Universe,272|EXO|EXO|1,50433686,292,https://www.youtube.com/watch?v=leu-cTvMWTA
39,739,Volume Up,1342|4minute|4minute|1,44953445,292,https://www.youtube.com/watch?v=qsWl1--Niyg
40,739,Antidote,543|강다니엘|KANGDANIEL|1,40428262,292,https://www.youtube.com/watch?v=sfdJRW5NGyA
41,739,Photograph,1216|offonoff (오프온오프)|offonoff|1,7652861,292,https://www.youtube.com/watch?v=2b1E-zu-QEM
42,739,신사 ($insa),"1090|Zion.T|Zion.T|1,1405|레디 (Reddy)|Reddy|1,1655|C JAMM|CJAMM|1",7652861,292,https://www.youtube.com/watch?v=aiZ7HXdt6jY
43,744,Falling In Love,1337|2NE1|2NE1|1,75732358,290,https://www.youtube.com/watch?v=zEVd9pSG85Q
44,744,My Turn,1844|CRAVITY|CRAVITY|1,18944060,290,https://www.youtube.com/watch?v=IrnhtBxHDBY
45,744,오랜만이야 (Feat. Zion.T),1094|로꼬|Loco|1,8134230,290,https://www.youtube.com/watch?v=paFGJV0vFx4
46,747,싫어 (Hate),1342|4minute|4minute|1,66252249,289,https://www.youtube.com/watch?v=D_F9HUTYnl0
47,747,I Don`t Care,1337|2NE1|2NE1|1,51139271,289,https://www.youtube.com/watch?v=4MgAxMO1KD0
48,747,공허해,303|WINNER|WINNER|1,48333166,289,https://www.youtube.com/watch?v=gEqlF5N8UMs
49,747,Heaven,12|에일리|Ailee|1,29049005,289,https://www.youtube.com/watch?v=L9ro1KjkJMg
