,ranking,songName,artistName,playCount,increaseCount,link
0,401,From Home,1329|NCT U|NCTU|1,63262608,731,https://www.youtube.com/watch?v=3p7s7Rjh4fg
1,402,Love Story,1176|린|LYn|1,13868805,726,https://www.youtube.com/watch?v=WC2XFhRohRc
2,403,What You Waiting For,1332|전소미|SOMI|1,53120156,724,https://www.youtube.com/watch?v=lBYyAQ99ZFI
3,404,Fine,813|태연 (TAEYEON)|TAEYEON|1,73923162,719,https://www.youtube.com/watch?v=NHXUM-6a3dU
4,405,Don`t Recall,1582|카드 (KARD)|KARD|1,78830070,716,https://www.youtube.com/watch?v=41Dp7Q-SM1Y
5,406,에너제틱 (Energetic),10|Wanna One (워너원)|WannaOne|1,150780513,713,https://www.youtube.com/watch?v=EVaV7AwqBWg
6,407,Intro : Boy Meets Evil,273|방탄소년단|BTS|1,71359632,712,https://www.youtube.com/watch?v=iJJSh-eEdRk
7,408,Shoot Out,363|몬스타엑스|MONSTAX|1,65979185,709,https://www.youtube.com/watch?v=MS10Zz49FHE
8,409,데자부 (Deja Vu),335|드림캐쳐|Dreamcatcher|1,25291453,708,https://www.youtube.com/watch?v=W761DtH1oRg
9,409,BYE BYE BYE,1969|위아이(WEi)|WEi|1,16837267,708,https://www.youtube.com/watch?v=HQxawfJdgEw
10,411,미친 놈 (Ex),377|Stray Kids (스트레이 키즈)|StrayKids|1,14212697,707,https://www.youtube.com/watch?v=rpHztlgROH8
11,411,악연 (Dark Dream),1931|엘라스트 (E`LAST)|ELAST|1,10688177,707,https://www.youtube.com/watch?v=pbqJMd4AAb4
12,413,동물원을 빠져나온 퓨마,653|투모로우바이투게더|TXT|1,31558658,706,https://www.youtube.com/watch?v=ImTgS5OXgbU
13,414,Lucifer,288|SHINee (샤이니)|SHINee|1,121606266,705,https://www.youtube.com/watch?v=Dww9UjJ4Dt8
14,414,BLUE,687|원호 (WONHO)|WONHO|1,8407772,705,https://www.youtube.com/watch?v=lU7yBv3tkwA
15,416,Better,1452|보아 (BoA)|BoA|1,6255945,701,https://www.youtube.com/watch?v=fOxl2OIOVII
16,417,청사진,377|Stray Kids (스트레이 키즈)|StrayKids|1,16269991,700,https://www.youtube.com/watch?v=LYJDf9oPQ-0
17,418,What I Said,383|VICTON (빅톤)|VICTON|1,22079490,698,https://www.youtube.com/watch?v=1WVkRRgcymw
18,419,CHERRY,1269|AB6IX (에이비식스)|AB6IX|1,22110432,690,https://www.youtube.com/watch?v=skB6UDjrc7c
19,420,"세계가 불타버린 밤, 우린... (Can't You See Me?)",653|투모로우바이투게더|TXT|1,57595188,689,https://www.youtube.com/watch?v=cMFHUTJ13Ys
20,420,라라라,1183|SG 워너비|SGWANNABE|1,14871007,689,https://www.youtube.com/watch?v=hPoRgIzXm5o
21,422,오랜 날 오랜 밤,1088|악뮤|AKMU|1,50503696,684,https://www.youtube.com/watch?v=wEQpfil0IYA
22,422,We don`t talk together (Feat. 기리보이) (Prod. SUGA),1091|헤이즈 (Heize)|Heize|1,21518377,684,https://www.youtube.com/watch?v=ByHNlfmmT-w
23,424,LAST DANCE,277|BIGBANG|BIGBANG|1,121883750,680,https://www.youtube.com/watch?v=--zku6TB5NY
24,424,Work It,1329|NCT U|NCTU|1,50988403,680,https://www.youtube.com/watch?v=Un7choIyl_g
25,426,"쏘리 쏘리 (Sorry, Sorry)",286|SUPER JUNIOR (슈퍼주니어)|SUPERJUNIOR|1,137128180,672,https://www.youtube.com/watch?v=x6QA3m58DQw
26,426,좋은 날,1134|멜로망스 |Melomance|1,14906007,672,https://www.youtube.com/watch?v=5uEVbzD_Ta4
27,428,GUNSHOT,1582|카드 (KARD)|KARD|1,28322685,671,https://www.youtube.com/watch?v=I_tP-vcTjq4
28,429,누구 없소 (NO ONE) (Feat. B.I of iKON),1163|이하이|LEEHI|1,59835394,670,https://www.youtube.com/watch?v=GQqyCeKf8rw
29,429,Senorita,361|(여자)아이들|(G)I-DLE|1,55231005,670,https://www.youtube.com/watch?v=G8APgeFfkAk
30,431,덜덜덜,315|EXID|EXID|1,57457812,667,https://www.youtube.com/watch?v=axVvZrDz60k
31,432,너를 만나,4|폴킴|PaulKim|1,50763140,665,https://www.youtube.com/watch?v=YBzJ0jmHv-4
