,ranking,songName,artistName,playCount,increaseCount,link
0,451,하드캐리,521|GOT7 (갓세븐)|GOT7|1,114243467,616,https://www.youtube.com/watch?v=O57jr1oZDIw
1,452,오늘같은 날 (For The Night),1730|애즈원||0,95933408,615,https://www.youtube.com/watch?v=cWeWR_rEy6g
2,453,비도 오고 그래서 (Feat. 신용재),1091|헤이즈 (Heize)|Heize|1,37811159,614,https://www.youtube.com/watch?v=afxLaQiLu-o
3,454,Lion Heart,305|소녀시대 (GIRLS' GENERATION)|SNSD|1,126380706,612,https://www.youtube.com/watch?v=nVCubhQ454c
4,455,Day & Night,1120|정승환|JungSeunghwan|1,9877419,611,https://www.youtube.com/watch?v=2dEeiY_w3xE
5,456,독 : Fear,640|세븐틴|SEVENTEEN|1,45221950,609,https://www.youtube.com/watch?v=ap14O5-G7UA
6,456,"No Blueberries (Feat. DPR LIVE, CL)",2024|DPR IAN|DPRIAN|1,6549951,609,https://www.youtube.com/watch?v=E-8pyVBvCPQ
7,458,Blue Flame,289|아스트로 (ASTRO)|ASTRO|1,25571946,606,https://www.youtube.com/watch?v=wS7anrSXKrY
8,459,SEXY LOVE,321|티아라|T-ARA|1,68927236,605,https://www.youtube.com/watch?v=ShVRP09NCO4
9,460,짐살라빔 (Zimzalabim),316|Red Velvet (레드벨벳)|RedVelvet|1,93787705,604,https://www.youtube.com/watch?v=YBnGBb1wg98
10,460,RBB (Really Bad Boy),316|Red Velvet (레드벨벳)|RedVelvet|1,69889282,604,https://www.youtube.com/watch?v=IWJUPY-2EIM
11,460,Coin,385|아이유|IU|1,15348943,604,https://www.youtube.com/watch?v=86BST8NIpNM
12,463,너랑 나,385|아이유|IU|1,43215432,602,https://www.youtube.com/watch?v=f_iQRO5BdCM
13,464,My Romeo,1634|제시 (Jessi)|Jessi|1,22720589,601,https://www.youtube.com/watch?v=q8NtQKp7Awg
14,465,Your Dog Loves You (Feat. Crush),1215|Colde (콜드)|Colde|1,14263305,599,https://www.youtube.com/watch?v=WybG8FesMc8
15,466,다른 남자 말고 너,320|미쓰에이|MISSA|1,97135283,598,https://www.youtube.com/watch?v=zO9RzrhYR-I
16,467,TONIGHT,277|BIGBANG|BIGBANG|1,96048947,595,https://www.youtube.com/watch?v=8d5QEWdHchk
17,468,다시 만난 세계 (Into The New World),305|소녀시대 (GIRLS' GENERATION)|SNSD|1,52103642,593,https://www.youtube.com/watch?v=0k2Zzkw_-0I
18,468,Spider,631|호시 (SEVENTEEN)|Hoshi|1,12935509,593,https://www.youtube.com/watch?v=eOOsAeOx5a0
19,470,금요일에 만나요 (Feat. 장이정 Of HISTORY),385|아이유|IU|1,45002067,590,https://www.youtube.com/watch?v=EiVmQZwJhsA
20,471,Roller Coaster,7|청하|CHUNGHA|1,75523703,584,https://www.youtube.com/watch?v=900X9fDFLc4
21,472,PARANOIA,543|강다니엘|KANGDANIEL|1,34041899,582,https://www.youtube.com/watch?v=zLrWIgkvoB0
22,472,할무니,1963|김호중|KIMHOJOONG|1,4209896,582,https://www.youtube.com/watch?v=K0L1L-fmqGI
23,474,DRIVE (Feat. GRAY),1117|박재범|JayPark|1,46697214,581,https://www.youtube.com/watch?v=8HFxbY8YvDk
24,475,Butterfly,387|이달의 소녀|LOONA|1,45037970,579,https://www.youtube.com/watch?v=XEOCbFJjRw0
25,476,FLASH,1425|X1 (엑스원)|X1|1,114744194,578,https://www.youtube.com/watch?v=LlQEKB2H7z4
26,476,어머님이 누구니 (Feat. 제시),1529|박진영|J.Y.Park|1,79717010,578,https://www.youtube.com/watch?v=kUGQ7Tz4os0
27,478,덤더럼(Dumhdurum),306|Apink (에이핑크)|Apink|1,35062488,577,https://www.youtube.com/watch?v=WqzTRK5GPWQ
28,479,예쁘다,640|세븐틴|SEVENTEEN|1,17897401,574,https://www.youtube.com/watch?v=j59LLNMEOZk
29,479,ICONS,2126|핫이슈(HOT ISSUE)|HOTISSUE|1,8107607,574,https://www.youtube.com/watch?v=Vbne6s0e0rI
30,479,머리어깨무릎발 (Feat. 원슈타인),1163|이하이|LEEHI|1,2327470,574,https://www.youtube.com/watch?v=ww9hZfgC2d8
31,482,Hi High,387|이달의 소녀|LOONA|1,33831563,572,https://www.youtube.com/watch?v=846cjX0ZTrk
32,483,Tear Drop,375|SF9|SF9|1,5532812,571,https://www.youtube.com/watch?v=Z0Je7eSXA5s
33,484,Chewing Gum,1078|NCT DREAM|NCTDREAM|1,66792607,567,https://www.youtube.com/watch?v=fwmvF5ffmhg
34,485,Thumbs Up,332|모모랜드 (MOMOLAND)|MOMOLAND|1,55585446,566,https://www.youtube.com/watch?v=TbuP2ypiTRc
35,486,거짓말처럼,1214|펀치 (Punch)|Punch|1,74343,564,https://www.youtube.com/watch?v=sMS3yAZFz6A
36,487, 아직 너의 시간에 살아,1087|이수현|LEESUHYUN|1,13339766,554,https://www.youtube.com/watch?v=IK2pql-ZLLE
37,488,BAD BOY,277|BIGBANG|BIGBANG|1,161817512,549,https://www.youtube.com/watch?v=1qnV55LUFVM
38,488,스물셋,385|아이유|IU|1,92854060,549,https://www.youtube.com/watch?v=42Gtm4-Ax2U
39,490,Eeny Meeny,726|유노윤호 (U-KNOW)|U-Know|1,9273066,547,https://www.youtube.com/watch?v=2gvbKJYWaRA
40,491,Lose,687|원호 (WONHO)|WONHO|1,9561229,545,https://www.youtube.com/watch?v=q3eSaQaDDPE
41,491,가을 타나 봐,2138|이무진|LeeMujin|1,731236,545,https://www.youtube.com/watch?v=WHkQtNBCRQo
