,ranking,songName,artistName,playCount,increaseCount,link
0,601,EVERYDAY,303|WINNER|WINNER|1,69377946,411,https://www.youtube.com/watch?v=d1D1SJ-KqaQ
1,601,미치게 만들어,1390|효린|HYOLYN|1,15080129,411,https://www.youtube.com/watch?v=4Iov70BaXM4
2,603,이러지마 제발 (Please Don`t...),1118|케이윌|K.will|1,69641921,409,https://www.youtube.com/watch?v=PdUiCJnRptk
3,603,나로 바꾸자 (duet with JYP),1505|비|Rain|1,15718112,409,https://www.youtube.com/watch?v=-Bf_BB9iTNI
4,605,파랗게,1346|WOODZ (조승연)|WOODZ|1,19150282,408,https://www.youtube.com/watch?v=HaqhQs5lBWE
5,606,니가 뭔데 (Who You?),730|G-DRAGON|G-DRAGON|1,124601514,407,https://www.youtube.com/watch?v=doFK7Eanm3I
6,606,TOMBOY,1099|혁오 (HYUKOH)|HYUKOH|1,26450202,407,https://www.youtube.com/watch?v=pC6tPEaAiYU
7,606,앙코르(Encore),521|GOT7 (갓세븐)|GOT7|1,17631601,407,https://www.youtube.com/watch?v=tAe0yUEzAaI
8,609,BAE BAE,277|BIGBANG|BIGBANG|1,134774544,406,https://www.youtube.com/watch?v=TKD03uPVD-Q
9,609,I`m So Hot,332|모모랜드 (MOMOLAND)|MOMOLAND|1,64769105,406,https://www.youtube.com/watch?v=tsN-MkpiZB0
10,611,Ponzona,1973|퍼플키스|PURPLEKISS|1,21283930,404,https://www.youtube.com/watch?v=8Lyf6PipuIg
11,612,Breath (넌 날 숨 쉬게 해),521|GOT7 (갓세븐)|GOT7|1,44283879,399,https://www.youtube.com/watch?v=g5idjxf4jHI
12,612,고백,1134|멜로망스 |Melomance|1,768684,399,https://www.youtube.com/watch?v=IgPcbE--mMA
13,614,Atlantis,288|SHINee (샤이니)|SHINee|1,22074603,398,https://www.youtube.com/watch?v=PSYRbJjIT6U
14,615,Snapping,7|청하|CHUNGHA|1,69048357,397,https://www.youtube.com/watch?v=deV_DmHKwjc
15,615,Give It To Me,1503|씨스타|SISTAR|1,67656322,397,https://www.youtube.com/watch?v=p6XLNsJ9YrA
16,617,붐붐,640|세븐틴|SEVENTEEN|1,45644155,392,https://www.youtube.com/watch?v=CNEeAaH3bFc
17,618,좋은 날,385|아이유|IU|1,52710969,390,https://www.youtube.com/watch?v=jeqdYqsrsA0
18,618,홀로,1163|이하이|LEEHI|1,17089624,390,https://www.youtube.com/watch?v=VdeK_VsG9U0
19,618,빌런 (Villain),71|스텔라장 (Stella Jang)|StellaJang|1,10871085,390,https://www.youtube.com/watch?v=ghpn99s8I-U
20,621,TAKE OVER,1047|도한세 (VICTON)|DoHanSe|1,5397831,389,https://www.youtube.com/watch?v=a63OBYlgh1w
21,622,Chronosaurus,377|Stray Kids (스트레이 키즈)|StrayKids|1,12933459,387,https://www.youtube.com/watch?v=12N0qEr_RGk
22,623,데이지,379|펜타곤|PENTAGON|1,32978723,386,https://www.youtube.com/watch?v=W7ZIz4w9Edo
23,623,RED MOON,1582|카드 (KARD)|KARD|1,17509566,386,https://www.youtube.com/watch?v=ZAEqQPAEkug
24,623,Love so Fine,782|차은우 (ASTRO)||0,9214936,386,https://www.youtube.com/watch?v=-PQGsN_Xx9o
25,626,My Pace,377|Stray Kids (스트레이 키즈)|StrayKids|1,105483084,384,https://www.youtube.com/watch?v=pok5yDw77uM
26,626,無限的我 (무한적아;Limitless),1328|NCT 127|NCT127|1,51070363,384,https://www.youtube.com/watch?v=zmUn7V6uuZM
27,626,GO,1078|NCT DREAM|NCTDREAM|1,43399416,384,https://www.youtube.com/watch?v=cD8SYW8rjaQ
28,629,그XX,730|G-DRAGON|G-DRAGON|1,97000852,382,https://www.youtube.com/watch?v=j57IzkTFnT8
29,630,Wow Thing,"7|청하|CHUNGHA|1,440|슬기 (SEULGI)||0,829|신비 (여자친구)||0,960|전소연|JEONSOYEON|1",54726874,381,https://www.youtube.com/watch?v=KR5CtMLuiqQ
30,631,바람 (Levanter),377|Stray Kids (스트레이 키즈)|StrayKids|1,40605270,380,https://www.youtube.com/watch?v=Fpgd3ac3_nM
