,ranking,songName,artistName,playCount,increaseCount,link
0,900,너는 나만큼 (Growing Pains),1265|SUPER JUNIOR-D&E (동해&은혁)||0,21193963,219,https://www.youtube.com/watch?v=Zs2NibgZgR4
1,900,Say,1149|윤미래|YOONMIRAE|1,5458288,219,https://www.youtube.com/watch?v=uO_j23R18cM
2,903,UGLY,1337|2NE1|2NE1|1,43892438,218,https://www.youtube.com/watch?v=NGe0hHvAGkc
3,904,I`ll Be Back,285|2PM|2PM|1,34508290,217,https://www.youtube.com/watch?v=jMdofhj9WKU
4,904,Downtown Baby,1500|블루(BLOO)|BLOO|1,11532462,217,https://www.youtube.com/watch?v=P07XG1P0ums
5,906,Lonely (Feat. 태연),776|종현 (JONGHYUN)|JONGHYUN|1,37115239,216,https://www.youtube.com/watch?v=NpTpEsE9G8c
6,906,Jealousy,363|몬스타엑스|MONSTAX|1,36409630,216,https://www.youtube.com/watch?v=TSA9VZduuZ4
7,908,FACE,1453|김우성(The Rose)||0,8794595,215,https://www.youtube.com/watch?v=uvs4nyijMZw
8,909,I Like That,1503|씨스타|SISTAR|1,40841979,214,https://www.youtube.com/watch?v=LJVUjmNMF8c
9,909,Very Good,283|블락비 (Block B)|BlockB|1,29477657,214,https://www.youtube.com/watch?v=kJGcO5Une-g
10,911,또 하루 (Feat. 개코),1170|개리|Gary|1,24074591,213,https://www.youtube.com/watch?v=tr6Xi0DNWj8
11,911,비밀이야 (Secret),318|우주소녀|WJSN|1,13040679,213,https://www.youtube.com/watch?v=_uJxJ7tSi1w
12,911,Sacrifice,1043|한승우|HanSeungWoo|1,12486590,213,https://www.youtube.com/watch?v=QXeZUeD0Xo4
13,914,ICE AGE,1728|MCND|MCND|1,27532378,212,https://www.youtube.com/watch?v=XpIG9dq1PQw
14,914,I Think I,286|SUPER JUNIOR (슈퍼주니어)|SUPERJUNIOR|1,15043231,212,https://www.youtube.com/watch?v=CbFh06IpSwA
15,914,첫사랑,1185|에피톤 프로젝트|EpitoneProject|1,13652879,212,https://www.youtube.com/watch?v=3w5iMGSHvsE
16,914,Error (Feat. Loopy),1700|ASH ISLAND|ASHISLAND|1,5910198,212,https://www.youtube.com/watch?v=JMw_cyEjNUw
17,918,흔들려,313|AOA|AOA|1,22387573,211,https://www.youtube.com/watch?v=R1-BTf3_Mys
18,918,Tag Me (@Me),1934|Weeekly (위클리)|Weeekly|1,18178063,211,https://www.youtube.com/watch?v=Moq0aOiTUOA
19,918,WHAT'S GOIN' ON,2181|OMEGA X|OMEGAX|1,10513716,211,https://www.youtube.com/watch?v=CaB_KzgX5aA
