,ranking,songName,artistName,playCount,increaseCount,link
0,950,Lock Down,2122|EPEX (이펙스)|EPEX|1,32182935,198,https://www.youtube.com/watch?v=WG6obN0sHCI
1,950,Shall We Dance,283|블락비 (Block B)|BlockB|1,29864366,198,https://www.youtube.com/watch?v=NHglTopVlKQ
2,950,청춘 (Feat. 김창완),1590|김필|KimFeel|1,22833477,198,https://www.youtube.com/watch?v=jqZ2Ie4pd30
3,950,달이 태양을 가릴 때 (Eclipse),822|문별 (마마무)|MOONBYUL|1,8697231,198,https://www.youtube.com/watch?v=oCTqcTe1lIA
4,955,Magic,286|SUPER JUNIOR (슈퍼주니어)|SUPERJUNIOR|1,30745599,196,https://www.youtube.com/watch?v=xMZ5nK5G71o
5,955,B.B.B (Big Baby Baby),334|달샤벳|Dalshabet|1,13194907,196,https://www.youtube.com/watch?v=vGKeA3xUzxU
6,955,2 KIDS,779|태민 (TAEMIN)|TAEMIN|1,8168256,196,https://www.youtube.com/watch?v=7UZRHi0kh3c
7,958,When I Saw You,1218|범키|BUMKEY|1,22695590,195,https://www.youtube.com/watch?v=i0vVqORZrVc
8,958,Splash,2095|미래소년 (MIRAE)|MIRAE|1,19746752,195,https://www.youtube.com/watch?v=9u7Z7kYr-es
9,958,I`m Not Sorry (Feat. Eric Bellinger),1089|DEAN|DEAN|1,14932525,195,https://www.youtube.com/watch?v=wzvRxguTPa4
10,958,얼음깨 (Break Ice),"625|ITZY (있지)|ITZY|1,2187|둘째이모 김다비||0",8227751,195,https://www.youtube.com/watch?v=WLQ7JqrCXec
11,962,HOT PINK,315|EXID|EXID|1,62345738,194,https://www.youtube.com/watch?v=8NaeaLW8CLY
12,962,데리러 가 (Good Evening),288|SHINee (샤이니)|SHINee|1,33735864,194,https://www.youtube.com/watch?v=7dGwk5-QMpc
13,962,미친거니 (Feat. 방용국),1795|송지은|SongJiEun|1,14728664,194,https://www.youtube.com/watch?v=n1TLaZp1i8E
14,965,Ra Pam Pam,301|골든차일드|GoldenChild|1,31929406,193,https://www.youtube.com/watch?v=PZL5MYD9oRQ
15,965,사람들이 움직이는 게,1088|악뮤|AKMU|1,26043891,193,https://www.youtube.com/watch?v=sbc2yBheAbo
16,965,PROMISE (for UNICEF Promise Campaign),680|EVERGLOW (에버글로우)|EVERGLOW|1,1456021,193,https://www.youtube.com/watch?v=JZmBo1EQnlE
17,968,Again＆Again,285|2PM|2PM|1,27571082,192,https://www.youtube.com/watch?v=cUgReo37ECw
18,968,다 빛이나 (Gleam),307|마마무(Mamamoo)|MAMAMOO|1,19986274,192,https://www.youtube.com/watch?v=uIAScvNDQpI
19,970,"Sexy, Free & Single",286|SUPER JUNIOR (슈퍼주니어)|SUPERJUNIOR|1,76522020,191,https://www.youtube.com/watch?v=gWIkiI_UmeE
20,970,센치해,303|WINNER|WINNER|1,34471172,191,https://www.youtube.com/watch?v=OV9NJGTLm-4
21,970,LOVE ME LOVE ME,303|WINNER|WINNER|1,33118607,191,https://www.youtube.com/watch?v=ppOWR7ZLl7Q
22,970,그런 사람 (Duet Ver.),"1152|신용재|ShinYongJae|1,1176|린|LYn|1",6612853,191,https://www.youtube.com/watch?v=DowqnPxybMI
23,970,네가 참 좋아 (Really Really),593|체리블렛  (Cherry Bullet)|CherryBullet|1,5063025,191,https://www.youtube.com/watch?v=uxTBkuo5YyA
24,975,D (half moon) (Feat. 개코),1089|DEAN|DEAN|1,36990593,190,https://www.youtube.com/watch?v=eelfrHtmk68
25,975,난리나,283|블락비 (Block B)|BlockB|1,22697331,190,https://www.youtube.com/watch?v=grrpg_r1Nb8
26,975,도깨비 (Favorite Boys),384|A.C.E (에이스)|A.C.E|1,9626340,190,https://www.youtube.com/watch?v=P416UUerDVs
27,975,결혼까지 생각했어,1194|휘성 (Realslow)|Realslow|1,8395715,190,https://www.youtube.com/watch?v=YXiLkrSft1w
28,975,그때의 우리,29|먼데이키즈 (Monday Kiz)|MondayKiz|1,85386,190,https://www.youtube.com/watch?v=aq7qFz5FXLc
