,ranking,songName,artistName,playCount,increaseCount,link
0,851,첫 사랑니 (Rum Pum Pum Pum),1471|f(x)|fx|1,65491181,237,https://www.youtube.com/watch?v=xnku4o3tRB4
1,851,둘만의 세상으로 가,1084|Crush|Crush|1,6835287,237,https://www.youtube.com/watch?v=EXJfWc4JciQ
2,851,Joker (Feat. JAMIE),1732|BIG Naughty (서동현)|BIGNaughty|1,3175088,237,https://www.youtube.com/watch?v=kgd7JBdelFQ
3,854,EPILOGUE : Young Forever,273|방탄소년단|BTS|1,75606905,236,https://www.youtube.com/watch?v=HBj4y9Zibao
4,854,어때?,1338|현아|HyunA|1,48982915,236,https://www.youtube.com/watch?v=y882AFjrSOM
5,854,Change,"404|RM|RM|1,1642|Wale||0",21168574,236,https://www.youtube.com/watch?v=9rAyprZdo7o
6,854,삠삠 (BEAM BEAM),960|전소연|JEONSOYEON|1,14725160,236,https://www.youtube.com/watch?v=MqzX9JAZ08U
7,858,Roly-Poly in 코파카바나,321|티아라|T-ARA|1,63160098,235,https://www.youtube.com/watch?v=3Xolk2cFzlo
8,858,둘 중에 골라 (Summer or Summer),"1390|효린|HYOLYN|1,2203|다솜||0",5012738,235,https://www.youtube.com/watch?v=nBxnh010LU8
9,860,Fly,521|GOT7 (갓세븐)|GOT7|1,86861450,234,https://www.youtube.com/watch?v=Q4vFviZ4qw0
10,861,FLOWER SHOWER,1338|현아|HyunA|1,25329842,233,https://www.youtube.com/watch?v=8xqSz6_RJeU
11,861,party (SHUT DOWN) (Feat. 크러쉬),1191|식케이 (Sik-K)|Sik-K|1,23189507,233,https://www.youtube.com/watch?v=1_BTuzaRHYU
12,861,YACHT (k) (Feat. Sik-K),1117|박재범|JayPark|1,21297182,233,https://www.youtube.com/watch?v=a-T8aVasQdY
13,861,Let Me Know,2119|픽시 (PIXY)|PIXY|1,1836136,233,https://www.youtube.com/watch?v=Z0dvWdMOlSU
14,865,MILLIONS,303|WINNER|WINNER|1,45990248,232,https://www.youtube.com/watch?v=PALjhRpnfbk
15,865,Mayday,383|VICTON (빅톤)|VICTON|1,23456558,232,https://www.youtube.com/watch?v=PMLPefdwM00
16,865,Movie Star,1317|CIX (씨아이엑스)|CIX|1,19531298,232,https://www.youtube.com/watch?v=5FV74Nbu0i0
17,865,UNDER COVER,384|A.C.E (에이스)|A.C.E|1,15798449,232,https://www.youtube.com/watch?v=qODWFe6v3zA
18,869,보라빛 밤 (pporappippam),1184|선미|SUNMI|1,16677914,231,https://www.youtube.com/watch?v=Is7glC9Jp7Q
19,870,숨,1080|박효신|ParkHyoShin|1,27248967,230,https://www.youtube.com/watch?v=oBKpJiVEcnU
20,870,100,1550|SuperM|SuperM|1,26993392,230,https://www.youtube.com/watch?v=nyzhtvtJWDQ
21,870,놀이 (Naughty),1959|레드벨벳-아이린&슬기||0,15998051,230,https://www.youtube.com/watch?v=wCWoUUWwdqg
