idx,title_list,view_list,link_list,image_list
93,GOT7(갓세븐) TOURLOG EP.25,조회수 42만회,https://www.youtube.com/watch?v=zO1mO3Ii674,https://i.ytimg.com/vi/zO1mO3Ii674/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA9QG8SPfGiVs1SWB8JTURVyBCgug
94,GOT7(갓세븐) TOURLOG EP.24,조회수 52만회,https://www.youtube.com/watch?v=gAyAIChWJvA,https://i.ytimg.com/vi/gAyAIChWJvA/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBJTuqtbq8Oc0Mka7g7zTqKZs9Vbw
95,GOT7(갓세븐) HOTLINE #23 (Awards Ver.),조회수 72만회,https://www.youtube.com/watch?v=SIX90TeqsO0,https://i.ytimg.com/vi/SIX90TeqsO0/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCWuFIKZiNjiFeiTAD9fCgy5na1QQ
96,"6 Years, Dear my Playground I GOT7",조회수 26만회,https://www.youtube.com/watch?v=Kf3YWjej5Uo,https://i.ytimg.com/vi/Kf3YWjej5Uo/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCHgfv2ccbJQGrbWokFwdh6MS0zWw
97,GOT7 TOURLOG EP.23,조회수 66만회,https://www.youtube.com/watch?v=fSgw0Toxvzw,https://i.ytimg.com/vi/fSgw0Toxvzw/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDbCHegtdzrRI58UvAKoDsK8BWoPg
98,GOT7(갓세븐) TOURLOG EP.22,조회수 84만회,https://www.youtube.com/watch?v=Ii-eiJezHMo,https://i.ytimg.com/vi/Ii-eiJezHMo/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBvcTfVjitDdtvHlNh5nwhC4jVWbg
99,GOT7(갓세븐) HOTLINE #22 (Awards Ver.),조회수 16만회,https://www.youtube.com/watch?v=FErPyaa3NRg,https://i.ytimg.com/vi/FErPyaa3NRg/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC9RgdyiC62tgFvMcB8LCpdaaTtRQ
100,GOT7(갓세븐) HOTLINE #21 (Awards Ver.),조회수 24만회,https://www.youtube.com/watch?v=AdyRl85FkI0,https://i.ytimg.com/vi/AdyRl85FkI0/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC-tBsrlclqevZcVtKIp2kQ0XHhIQ
101,GOT7(갓세븐) TOURLOG EP.21,조회수 68만회,https://www.youtube.com/watch?v=PtQ2nbGGoA4,https://i.ytimg.com/vi/PtQ2nbGGoA4/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDTg1DbZyrJaku7cKl7n_r23YkPuA
102,GOT7(갓세븐) HOTLINE #20 (Awards Ver.),조회수 24만회,https://www.youtube.com/watch?v=g_FlD2i_hVM,https://i.ytimg.com/vi/g_FlD2i_hVM/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCVvQ4XmbsKv_aZsZHgNY-jsUCL1w
103,GOT7(갓세븐) TOURLOG EP.20,조회수 115만회,https://www.youtube.com/watch?v=BMqOYelZx3I,https://i.ytimg.com/vi/BMqOYelZx3I/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBTu1B-nIgpalOdydpYEVlkXHCOVw
104,GOT7(갓세븐) HOTLINE #19 (Awards Ver.),조회수 25만회,https://www.youtube.com/watch?v=PWhUR6FCgr0,https://i.ytimg.com/vi/PWhUR6FCgr0/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCQIkLDXMgns3_Fb0Oqmwv2tC61hg
