,ranking,songName,artistName,playCount,increaseCount,link
0,618,PARANOIA,543|강다니엘,34047112,469,https://www.youtube.com/watch?v=zLrWIgkvoB0
1,733,Antidote,543|강다니엘,40431949,362,https://www.youtube.com/watch?v=sfdJRW5NGyA
2,858,깨워 (Who U Are),543|강다니엘,23957645,277,https://www.youtube.com/watch?v=SQj7Ed-Z9Lk
3,935,"Waves (feat. 사이먼 도미닉, Jamie)",543|강다니엘,8300269,240,https://www.youtube.com/watch?v=SlNTVljJf3g
4,1210,2U,543|강다니엘,7357245,147,https://www.youtube.com/watch?v=GmqfRBaJm6I
5,1480,뭐해 (What are you up to),543|강다니엘,21732424,101,https://www.youtube.com/watch?v=_-QY40Reub8
6,2124,TOUCHIN',543|강다니엘,5946816,43,https://www.youtube.com/watch?v=aSGisoCdLPc
7,5196,Refresh,"543|강다니엘,1085|지코 (ZICO)",12089056,0,https://www.youtube.com/watch?v=k7aIhVBX3hw
8,5196,Movie (feat. Dvwn),543|강다니엘,2093230,0,https://www.youtube.com/watch?v=IjVjNJ_Weg0
